,P1,P,P2,Q,R,S,T1,T,Cluster
623,-0.0009970089730855,0.1046859421734962,0.209371884346964,0.2721834496510391,0.3469591226321118,0.4097706879361869,0.5992023928215259,0.7996011964107771,3
624,-0.000993048659389,0.1032770605759557,0.2135054617676349,0.273088381330669,0.3475670307845109,0.4101290963257121,0.6007944389275113,0.8003972194637556,3
625,-0.0009852216748815,0.1083743842364401,0.2177339901477897,0.275862068965522,0.350738916256157,0.4137931034482691,0.6039408866995151,0.8019704433497575,3
626,-0.0009784735812179,0.1076320939334502,0.2260273972602705,0.2749510763209196,0.3483365949119349,0.4109589041095803,0.6066536203522322,0.8033268101761301,3
627,-0.0009718172983525,0.1088435374149612,0.2342079689018607,0.2507288629737713,0.3488824101069097,0.4110787172011694,0.6336248785228548,0.8289601554907791,0
628,-0.0009285051067825,0.148560817084491,0.2683379758588822,0.3101207056638846,0.3779015784586921,0.4373259052924832,0.6508820798514342,0.8375116063138502,1
629,-0.000927643784791,0.1484230055658591,0.2699443413729091,0.3098330241187405,0.3775510204081721,0.4369202226345105,0.6465677179962902,0.8330241187383985,1
630,-0.0009276437847647,0.1484230055658591,0.2699443413729091,0.2847866419295135,0.3784786641929632,0.4378478664193015,0.6484230055658723,0.8348794063079807,1
631,-0.0009250693802079,0.1480111008325608,0.2691951896392228,0.2849213691026789,0.3783533765032341,0.4375578168362531,0.6669750231267184,0.8353376503237752,1
632,-0.000927643784791,0.1484230055658591,0.2699443413729091,0.2838589981447224,0.3775510204081721,0.4369202226345105,0.6632653061224503,0.8367346938775628,1
633,-0.0009302325581439,0.1488372093023239,0.2706976744186045,0.2827906976744235,0.3767441860465166,0.435348837209297,0.6604651162790841,0.8353488372093075,1
634,-0.0009328358209264,0.1492537313432535,0.2705223880596669,0.2817164179104135,0.3759328358208602,0.43470149253732,0.64832089552238,0.8358208955223999,3
635,-0.0009302325581174,0.1488372093023425,0.2706976744185902,0.2818604651162646,0.3758139534883528,0.4344186046511829,0.648372093023231,0.8353488372092899,3
636,-0.0009302325581704,0.1488372093022975,0.2688372093023166,0.305116279069747,0.3748837209302023,0.4334883720930355,0.6455813953488068,0.8325581395348756,1
637,-0.0009276437848174,0.1484230055658366,0.2662337662337518,0.3042671614100021,0.3738404452689913,0.4322820037105929,0.6410018552875607,0.8274582560297004,1
638,-0.0009661835748792,0.1140096618357488,0.2222222222222222,0.3304347826086956,0.3942028985507247,0.4405797101449276,0.6454106280193238,0.8396135265700484,1
639,-0.0009643201542913,0.1099324975891995,0.2169720347155254,0.3278688524590163,0.3924783027965284,0.4387656702025072,0.6412729026036644,0.8351012536162007,1
640,-0.0009345794392522,0.1065420560747662,0.211214953271028,0.3186915887850465,0.3822429906542055,0.4271028037383176,0.6242990654205606,0.8121495327102802,3
641,-0.0009496676163346,0.1082621082621081,0.2146248812915479,0.2915479582146252,0.3874643874643878,0.4330484330484334,0.6372269705603042,0.8281101614434947,3
642,-0.0009460737937562,0.1087984862819302,0.2175969725638596,0.2923368022705774,0.3878902554399246,0.4333017975402085,0.6357615894039735,0.8259224219489126,3
643,-0.0009487666034158,0.1129032258064514,0.222960151802657,0.2960151802656551,0.3918406072106258,0.4373814041745728,0.640417457305503,0.8311195445920312,3
644,-0.0009478672985793,0.1109004739336484,0.2180094786729862,0.2947867298578199,0.3905213270142172,0.4360189573459708,0.6388625592417059,0.8293838862559244,3
645,-0.0009469696969708,0.1089015151515154,0.2149621212121217,0.2916666666666667,0.3873106060606053,0.4327651515151509,0.6363636363636358,0.8267045454545455,3
646,-0.0009469696969691,0.1107954545454552,0.2178030303030305,0.2935606060606062,0.3892045454545447,0.4346590909090901,0.6382575757575747,0.8285984848484841,3
647,-0.0009469696969691,0.1070075757575769,0.2149621212121213,0.3191287878787873,0.3854166666666663,0.4308712121212118,0.6344696969696964,0.8248106060606057,3
648,-0.0009416195856885,0.1139359698681722,0.2372881355932198,0.3248587570621465,0.3917137476459505,0.436911487758945,0.6403013182674211,0.8295668549905842,1
649,-0.0009354536950432,0.1188026192703451,0.24134705332086,0.3002806361085109,0.3947614593077652,0.4396632366697842,0.6435921421889611,0.831618334892423,3
650,-0.0009389671361513,0.1183098591549305,0.2413145539906114,0.2995305164319236,0.3943661971830997,0.4394366197183093,0.6441314553990602,0.8328638497652576,3
651,-0.0009345794392534,0.1214953271028027,0.2355140186915877,0.3028037383177551,0.3971962616822435,0.442056074766354,0.6448598130841099,0.8327102803738299,1
652,-0.0009319664492089,0.1230195712954313,0.245107176141657,0.3047530288909581,0.3988816402609512,0.4436160298229253,0.6449207828518173,0.8322460391425912,1
653,-0.0009319664492056,0.120223671947811,0.233923578751166,0.3028890959925435,0.3970177073625366,0.4417520969245107,0.6439888164026083,0.8313140726933822,1
654,-0.0009285051067792,0.1207056638811506,0.2423398328690804,0.3036211699164333,0.3974001857010228,0.4419684308263694,0.6434540389972135,0.8300835654596099,1
655,-0.0009285051067792,0.1188486536675954,0.2404828226555253,0.3036211699164333,0.3974001857010228,0.4419684308263694,0.6434540389972135,0.8300835654596099,1
656,-0.0009250693802046,0.1211840888066607,0.2423681776133215,0.3367252543940804,0.3987049028677161,0.4431082331174832,0.643848288621645,0.8297872340425522,1
657,-0.0009259259259237,0.1203703703703725,0.2416666666666655,0.3064814814814805,0.4000000000000013,0.4444444444444441,0.6453703703703685,0.8314814814814798,1
658,-0.0009233610341622,0.1172668513388755,0.2188365650969542,0.3056325023084016,0.398891966759004,0.4432132963988915,0.6435826408125558,0.8291782086795919,3
659,-0.0009267840593153,0.1195551436515303,0.2409638554216847,0.3058387395736776,0.3994439295644088,0.4439295644114911,0.6450417052826669,0.8313253012048174,1
